Name,Cuisine,Location,rating,num_of_rating,price_for_two
Wah Ji Wah,"North Indian, Mughlai","V3S Mall, Swasthya Vihar",4,100,400
Tandoori Manzil,"Mughlai, North Indian","Ganesh Nagar, Mayur Vihar",4,100,300
Aggarwal Sweet India,"Sweets, Snacks","Pandav Nagar, Patparganj",4,100,300
Red Chilli Chinese,Chinese,"West Guru Angad Nagar, Laxmi Nagar",4,100,200
Parantha Express,"North Indian, Snacks","Malviya Nagar, Mayur Vihar",4,100,150
Murthal No.1 Parantha,"North Indian, Street Food","Malviya Nagar, Mayur Vihar",4,500,300
Gupta Ji Chole Bhature,"Indian, North Indian","Laxmi Nagar, Shakarpur Khas",4,100,200
China Hut,Chinese,"Jangpura, Jungpura Extension",4,50,250
"Kebabi Karvaan - Kebabs, Curries & Biryanis","Kebabs, Mughlai","Preet Vihar, East , Delhi, Laxmi Nagar",4,50,400
South Indian Anna Madras Cafe,South Indian,"Near Mother Dairy, Patparganj",4,500,150
The Biryani Life,"Biryani, Hyderabadi","Near Metro Station, Shakarpur Khas",4,100,250
Faasos - Wraps & Rolls,"Fast Food, Snacks","Rajdner Place, Rajendra Place",4,500,200
Art Of Spices,"North Indian, Fast Food","Pusa Road, North Extension Area, Rajinder Nagar",4,500,300
Kaarobaar: The Modern-Desi Bistro,"North Indian, Chinese","Karol Bagh, Rajinder Nagar",4,1000,300
The Yellow Bowl,"Chinese, Snacks","Old Delhi, Old Delhi",4,50,300
M Gopinath,South Indian,"Karol Bagh, Old Rajinder Nagar, Rajinder Nagar",4,100,250
China Hut,Chinese,"Jangpura, Jungpura Extension",4,50,250
"Kebabi Karvaan - Kebabs, Curries & Biryanis","Kebabs, Mughlai","Preet Vihar, East , Delhi, Laxmi Nagar",4,50,400
South Indian Anna Madras Cafe,South Indian,"Near Mother Dairy, Patparganj",4,500,150
The Biryani Life,"Biryani, Hyderabadi","Near Metro Station, Shakarpur Khas",4,100,250
Faasos - Wraps & Rolls,"Fast Food, Snacks","Rajdner Place, Rajendra Place",4,500,200
Art Of Spices,"North Indian, Fast Food","Pusa Road, North Extension Area, Rajinder Nagar",4,500,300
Kaarobaar: The Modern-Desi Bistro,"North Indian, Chinese","Karol Bagh, Rajinder Nagar",4,1000,300
The Yellow Bowl,"Chinese, Snacks","Old Delhi, Old Delhi",4,50,300
M Gopinath,South Indian,"Karol Bagh, Old Rajinder Nagar, Rajinder Nagar",4,100,250
Veg Gulati (Pandara Road),Indian,"Khan Market, Pandara Road",4,50,1200
